Domain,MLP Libero-10,MLP SimplerBridge,MLP RoboCasa,Diffusion Libero-10,Diffusion SimplerBridge,Diffusion RoboCasa
Train from scratch,66.6,19.4,20.3,68.6,28.9,30.1
Baseline,92.4,45.8,49.5,91.8,50.5,51.7
Spatial,93.0,41.4,49.2,92.4,49.9,50.0
Grounding,95.6,44.8,50.4,94.2,50.8,52.7
Plan and Reasoning,95.2,37.8,47.5,92.8,48.1,51.1
Camera Prediction,93.2,43.0,47.9,92.6,46.6,50.7
Egocentric Understanding,95.3,43.2,49.9,93.0,49.8,52.0
Temporal Understanding,96.4,38.2,47.9,93.1,49.1,50.7
Action-NTP,95.4,44.0,50.0,93.4,49.6,52.3

